arise,arose,/əˈrəʊz/,arisen,/əˈraɪzn/ ,برخاستن
awake,awakened / awoke,/əˈwəʊk/,awakened / awoken,/əˈwəʊ.kən/,بيدار شدن
backslide,backslid,/bækslid/,backslidden / backslid,/bæksli-dən/,برگشتن
be,"was- were","/ˈwəz- ˈwäz/-  /ˈwər/",been,"/bin- ˈben/",بودن
bear,bore,/ˈbȯr/,born / borne,/bȯrn/,حمل کردن
beat,beat,/bi:t/,beaten,/'bi:tn/,تپيدن
become,became,/bɪ 'keɪm/,become,/bɪ 'kʌm/,شدن
begin,began,/bɪ 'gæn/,begun,/bɪ 'gʌn/,اغاز کردن
bend,bent,/bent/,bent,/bent/,خميدن
bet,bet,/bet/,bet,/bet/,شرط بستن
bid,bid,/bid/,bid,/bid/, قابليت شرکت درمناقصه
bind,bound,/baʊnd/,bound,/baʊnd/,متعهد وملزم ساختن
bite,bit,/bɪt/,bitten,/'bɪtn/,گاز گرفتن
bleed,bled,/bled/,bled,/bled/,خون امدن از
blow,blew,/blu:/,blown,/bloun/,دميدن
break,broke,/brouk/,broken,/'broukən/,شکستن
bring,brought,/brɔ:t/,brought,/brɔ:t/,اوردن
browbeat,browbeat,/brau̇-ˌbēt/,browbeaten / browbeat,/brau̇-bē-tən/,عتاب کردن
build,built,/bɪlt/,built,/bɪlt/,ساختن
burn,burnt,/bɜ:rnt/,burnt,/bɜ:rnt/,سوزاندن
burst,burst,/bərst/,burst,/bərst/,ازهم پاشيدن
bust,busted / bust,/bəst/,busted / bust,/bəst/,خرد گشتن
buy,bought,/bɔ:t/,bought,/bɔ:t/,خريدن
cast,cast,/kast/,cast,/kast/,درقالب قرار دادن
catch,caught,/kɔ:t/,caught,/kɔ:t/,گرفتن
choose,chose,/tʃouz/,chosen,/'tʃouzən/,انتخاب کردن
cling,clung,/kləŋ/,clung,/kləŋ/,پيوستن
come,came,/keɪm/,come,/kʌm/,امدن
cost,cost,/kɒst/,cost,/kɒst/,قيمت داشتن
creep,crept,/krept/,crept,/krept/,خزيدن
crossbreed,crossbred,/krȯs-ˌbred/,crossbred,/krȯs-ˌbred/,پيوند زدن
cut,cut,/kʌt/,cut,/kʌt/,بريدن
deal,dealt ,/delt/,dealt,/delt/,معامله کردن
dig,dug,/dʌg/,dug,/dʌg/,کاوش کردن
do,did,/dɪd/,done,/dʌn/,انجام دادن
draw,drew,/dru:/,drawn,/drɔ:n/,رسم کردن
dream,dreamt,/dremt/,dreamt,/dremt/,خواب ديدن
drink,drank,/dræŋk/,drunk,/drʌŋk/,اشاميدن
drive,drove,/drouv/,driven,/'drɪvən/,راندن 
dwell,dwelt,/dwelt/,dwelt,/dwelt/,ساکن بودن
eat,ate,"/eɪt- et/",eaten,/'i:tn/,خوردن
fall,fell,/fel/,fallen,/'fɔ:lən/,افتادن
feed,fed,/fed/,fed,/fed/,خوراک دادن
feel,felt,/felt/,felt,/felt/,احساس کردن
fight,fought,/fɔ:t/,fought,/fɔ:t/,جنگ کردن
find,found,/faʊnd/,found,/faʊnd/,پيدا کردن
fit (be right size),fit,/fit/,fit,/fit/,اندازه بودن
flee,fled,/ˈfled/,fled,/ˈfled/,گريختن
fling,flung,/ˈfləŋ/,flung,/ˈfləŋ/,پرت کردن
fly,flew,/flu:/,flown,/floun/,پراندن
forbid,forbade,/fər bād/,forbidden,/fər bi-dən/,قدغن کردن
forecast,forecast,/fər-ˈkast/,forecast,/fər-ˈkast/,پيش بينى کردن
forego,forewent,/fər went/,foregone,/fər gȯn/,پيش رفتن
foresee,foresaw,/fər sɔ:/,foreseen,/fər si:n/,قبلا تهيه ديدن
foretell,foretold,/fər tould/,foretold,/fər tould/,پيشگويى کردن
forget,forgot,/fər 'gɒt/,forgotten,/fər 'gɒtn/,فراموش کردن
forgive,forgave,/fər 'geɪv/,forgiven,/fər 'gɪvən/,بخشيدن
forsake,forsook,/fər su̇k/,forsaken,/fər sā-kən/,ول کردن
freeze,froze,/frouz/,frozen,/'frouzən/,يخ بستن
get,got,/gɒt/,got,/gɒt/,گرفتن
give,gave,/geɪv/,given,/'gɪvən/,واگذار کردن
go,went,/went/,gone,/gɒn/,رفتن
grind,ground,/grau̇nd/,ground,/grau̇nd/,کوبيدن
grow,grew,/gru:/,grown,/groun/,رستن
hang,hung,/hʌŋ/,hung,/hʌŋ/,ويختن
have,had,/hæd/,had,/hæd/,داشتن
hear,heard,/hɜ:rd/,heard,/hɜ:rd/,شنيدن
hide,hid,/hɪd/,hidden,/'hɪdn/,پنهان کردن
hit,hit,/hɪt/,hit,/hɪt/, زدن
hold,held,/held/,held,/held/,نگهداشتن
hurt,hurt,/hɜ:rt/,hurt,/hɜ:rt/,ازار رساندن
inbreed,inbred,/in bred/,inbred,/in bred/,توليد کردن
inlay,inlaid,/in lād/,inlaid,/in lād/,نشاندن
input,input / inputted,/in-ˌpu̇t/,input / inputted,/in-ˌpu̇t/,درون گذاشت
interbreed,interbred,/in-tər-bred/,interbred,/in-tər-bred/,اصلاح نژاد کردن
interweave,interwove / interweaved,/in-tər-wōv/,interwoven / interweaved,/in-tər-wō-vən/,با هم بافتن
keep,kept,/kept/,kept,/kept/,نگاه داشتن
knit,knitted / knit,/ˈnit/,knitted / knit,/ˈnit/,بافتن
know,knew,/nu:/,known,/noun/,دانستن
lay,laid,/leɪd/,laid,/leɪd/,خواباندن
lead,led,/led/,led,/led/,رهبرى کردن
learn,learnt,/lɜ:rnt/,learnt,/lɜ:rnt/,اموختن
leave,left,/left/,left,/left/,رها کردن
lend,lent,/lent/,lent,/lent/,عاريه دادن
let,let,/let/,let,/let/,گذاشتن
lie,lay,/leɪ/,lain,/leɪn/,دروغ گفتن
light,lit / lighted,/ˈlit/,lit / lighted,/ˈlit/,اشکارکردن
lose,lost,/lɒst/,lost,/lɒst/,گم کردن
make,made,/meɪd/,made,/meɪd/,ساختن
mean,meant,/ment/,meant,/ment/,قصد داشتن
meet,met,/met/,met,/met/,ملاقات کردن
offset,offset,/ˈȯf-ˌset/,offset,/ˈȯf-ˌset/,متعادل کردن
pay,paid,/peɪd/,paid,/peɪd/,پرداختن
plead,pleaded / pled,/ˈpled/,pleaded / pled,/ˈpled/,درخواست کردن
put,put,/pʊt/,put,/pʊt/,قراردادن
quit,quit,/ˈkwit/,quit,/ˈkwit/, دست کشيدن از
read,read,/red/,read,/red/,خواندن
rid,rid,/rid/,rid,/rid/,پاک کردن از
ride,rode,/roud/,ridden,/'rɪdn/,سوار شدن
ring,rang,/ræŋ/,rung,/rʌŋ/,چرخ خوردن
rise,rose,/rouz/,risen,/'rɪzən/,برخاستن
run,ran,/ræn/,run,/rʌn/,دويدن
say,said,/sed/,said,/sed/,گفتن
see,saw,/sɔ:/,seen,/si:n/,ديدن
seek,sought,/ˈsȯt/,sought,/ˈsȯt/,جستجو کردن
sell,sold,/sould/,sold,/sould/,فروختن
send,sent,/sent/,sent,/sent/,فرستادن
set,set,/set/,set,/set/,نشاندن
shake,shook,/ʃʊk/,shaken,/'ʃeɪkən/,تکان دادن
shed,shed,/ˈʃed/,shed,/ˈʃed/,ريختن
shine,shone,"/ʃoun- ʃɒn/",shone,"/ʃoun- ʃɒn/",تابيدن
shoot,shot,/ʃɒt/,shot,/ʃɒt/,گلوله زدن
show,showed,/ʃoud/,shown,/ʃoun/,نشان دادن
shrink,shrank,/ʃraŋk/,shrunk,/ʃrəŋk/,چروک شدن
shut,shut,/ʃʌt/,shut,/ʃʌt/,بستن
sing,sang,/sæŋ/,sung,/sʌŋ/,اواز خواندن
sink,sank,/sæŋk/,sunk,/sʌŋk/,غرق شدن
sit,sat,/sæt/,sat,/sæt/,نشستن
sleep,slept,/slept/,slept,/slept/,خوابيدن
slide,slid,/slid/,slid,/slid/,لغزيدن
sling,slung,/sləŋ/,slung,/sləŋ/,پرتاب کردن
slink,slinked / slunk,/sləŋk/,slinked / slunk,/sləŋk/,حرکت دزدکى
slit,slit,/ˈslit/,slit,/ˈslit/,شکافتن
smell,smelt,/smelt/,smelt,/smelt/,بوييدن
speak,spoke,/spouk/,spoken,/'spoukən/,حرف زدن
spell,spelled,/speld/,spelled,/speld/,هجى کردن
spend,spent,/spent/,spent,/spent/,صرف کردن
spill,spilt,/spɪlt/,spilt,/spɪlt/,ریختن
spin,spun,/ˈspin/,spun,/ˈspin/,چرخيدن
spit,spat,/spæt/,spat,/spæt/,بسيخ کشيدن
split,split,/splɪt/,split,/splɪt/,شکافتن
spoil,spoilt,/spoɪlt/,spoilt,/spoɪlt/,از بين بردن
spread,spread,/ˈspred/,spread,/ˈspred/,پخش کردن
spring,sprang / sprung,/ˈspraŋ/,sprung,/ˈsprəŋ/,پريدن
stand,stood,/stʊd/,stood,/stʊd/,ايستادن
steal,stole,/stoul/,stolen,/'stoulən/,دستبرد زدن
stick,stuck,/ˈstək/,stuck,/ˈstək/,چسبيدن
sting,stung,/ˈstəŋ/,stung,/ˈstəŋ/,گزيدن
stink,stunk / stank,/ˈstaŋk/,stunk,/ˈstəŋk/,بوى بد دادن
stride,strode,/ˈstrōd/,stridden,/ˈstri-dən/,گام هاى بلند برداشتن
strike,struck,/strʌk/,struck,/strʌk/,زدن
string,strung,/ˈstrəŋ/,strung,/ˈstrəŋ/,بصف کردن
swear,swore,/ˈswȯr/,sworn,/ˈswȯrn/,سوگند خوردن
sweep,swept,/ˈswept/,swept,/ˈswept/,جاروب کردن
swim,swam,/swæm/,swum,/swʌm/,شناکردن
swing,swung,/ˈswəŋ/,swung,/ˈswəŋ/,تاب خوردن
take,took,/tʊk/,taken,/'teɪkən/,گرفتن
teach,taught,/tɔ:t/,taught,/tɔ:t/,اموختن
tear,tore,/tɔr/,torn,/tɔrn/,پاره کردن
tell,told,/tould/,told,/tould/,گفتن
think,thought,/θɔ:t/,thought,/θɔ:t/,انديشيدن
throw,threw,/θru:/,thrown,/θroun/,پرت کردن
thrust,thrust,/ˈθrəst/,thrust,/ˈθrəst/,فرو کردن
tread,trod,/ˈträd/,trodden / trod,/trä-dən/,پاگذاشتن
understand,understood,/ʌndər 'stʊd/,understood,/ʌndər 'stʊd/,فهميدن
wake,woke,/wouk/,woken,/'woukən/,شب زنده دارى کردن
wear,wore,/wɔr/,worn,/wɔrn/,پوشيدن
weave,wove / weaved,/ˈwōv/,woven / weaved,/ˈwō-vən/,بافتن
wed,wed / wedded,/ˈwed/,wed / wedded,/ˈwed/,عروسى کردن با
weep,wept,/ˈwept/,wept,/ˈwept/,گريه کردن
wet,wet,/'wet/,wet,/'wet/,مرطوب کردن
win,won,/wʌn/,won,/wʌn/,پيروز شدن
wind,wound,/ˈwau̇nd/,wound,/ˈwau̇nd/,بادگذاردن
wring,wrung,/ˈrəŋ/,wrung,/ˈrəŋ/,فشردن
write,wrote,/rout/,written,/'rɪtn/,نوشتن
